==1824== NVPROF is profiling process 1824, command: ./jacobi
==1824== Profiling application: ./jacobi
==1824== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",62.048533,8.869731,6000,1.478288,1.464694,1.609973,"[CUDA memcpy HtoD]"
"GPU activities",35.746494,5.109900,7000,0.729985,0.001119,1.431350,"[CUDA memcpy DtoH]"
"GPU activities",1.109208,0.158559,1000,0.158559,0.153663,0.167903,"calcNext_47_gpu"
"GPU activities",1.047040,0.149673,1000,0.149672,0.146655,0.154335,"swap_63_gpu"
"GPU activities",0.041431,0.005922,1000,0.005922,0.005536,0.013600,"calcNext_47_gpu__red"
"GPU activities",0.007295,0.001043,1000,0.001042,0.000991,0.013568,"[CUDA memset]"
"API calls",64.769598,5.848249,8000,0.731031,0.002016,1.716548,"cuStreamSynchronize"
"API calls",28.948762,2.613874,18996,0.137601,0.000772,1.471298,"cuEventSynchronize"
"API calls",2.296510,0.207359,1,207.359093,207.359093,207.359093,"cuDevicePrimaryCtxRetain"
"API calls",1.027770,0.092801,1,92.800561,92.800561,92.800561,"cuDevicePrimaryCtxRelease"
"API calls",0.690098,0.062311,3000,0.020770,0.007219,0.278062,"cuLaunchKernel"
"API calls",0.611044,0.055173,6000,0.009195,0.006938,0.037031,"cuMemcpyHtoDAsync"
"API calls",0.558630,0.050440,7000,0.007205,0.004463,0.032088,"cuMemcpyDtoHAsync"
"API calls",0.509680,0.046021,18998,0.002422,0.001542,0.574898,"cuEventRecord"
"API calls",0.322748,0.029142,1,29.141938,29.141938,29.141938,"cuMemHostAlloc"
"API calls",0.114167,0.010309,1,10.308508,10.308508,10.308508,"cuMemFreeHost"
"API calls",0.113596,0.010257,1000,0.010256,0.008433,0.031817,"cuMemsetD32Async"
"API calls",0.021826,0.001971,5,0.394141,0.006022,1.514261,"cuMemAlloc"
"API calls",0.012621,0.001140,1,1.139573,1.139573,1.139573,"cuMemAllocHost"
